EmployeeID,Name,Age,City,Department,Salary,JoinDate,Email,PerformanceRating,ExperienceYears
1714,Pooja Reddy,36,Mumbai,Operations,,2020-02-16,pooja.reddy28@gmail.com,4.0,14.1
1978,Yash Malhotra,25,  Bangalore,Hr,75830,11/27/2016,yash.malhotra25@gmail.com,3.0,19.6
1936,Swati Malhotra,,Nagpur,IT,57068,25 Jan 2019,swati.malhotra79@gmail.com,5.0,12.6
1866,Harsh Verma,28,MUMBAI,HR,58455,2017-01-10,harsh.verma88@gmail.com,1.0,9.7
1700,Tanvi Rao,37,pune,IT ,43332,2015-06-28,tanvi.rao94@gmail.com,5.0,20.0
1736,Abhishek Rao,28,Delhi,Finance,95997,2016-12-06,abhishek.rao19@gmail.com,4.0,1.9
1099,Rahul Saxena,49,Chennai,IT,89397,2020-07-11,rahul.saxena15@gmail.com,,10.4
1403,Vikram Pillai,32,Hyderabad,Operations,101522,25-02-2024,vikram.pillai99@gmail.com,4.0,13.2
1357,Shreya Verma,37,Mumbai,sales,46302,2024-07-06,shreya.verma70@gmail.com,2.0,2.1
1755,Meera Kapoor,52,Delhi ,Hr,"₹149,714",2023-06-01,meera.kapoor65@gmail.com,3.0,9.8
1034,Nikhil Iyer,23,,Marketing,22671,08-03-2024,nikhil.iyer73@gmail.com,4.0,15.3
1525,Ananya Malhotra,24,Chennai,IT,,27 Jan 2021,ananya.malhotra78@gmail.com,5.0,14.0
1090,Bhavna Mehta,29,Pune,sales,38191,,bhavnamehtagmail.com,2.0,14.5
1523,Karan Singh,twenty five,Delhi,Finance,"₹23,888",2024-04-16,karan.singh2@gmail.com,,0.1
1983,Gaurav Kumar,47,pune,HR,92805,2016-12-28,gaurav.kumar61@gmail.com,1.0,11.3
1742,Abhishek Gupta,53,Delhi,Hr,90481,2016-01-15,abhishek.gupta33@gmail.com,2.0,13.0
1053,Amit Chopra,55,Hyderabad,Operations,148552,13-10-2018,amit.chopra6@gmail.com,4.0,16.2
1851,Kirti Pillai,39,Delhi ,Marketing,"₹34,058",20-01-2015,,1.0,7.6
